,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Denmark,68,5476,2559,342,196,37826,2931,65882,0,0,149006,4142,8619,29,2587,4241,7671,0,3445,0,396,423,72866,1220,51,338,9,423,100865,2941,458,657,23213,2565,247,12131,133,452,76,0,4,6,1808,83823,12229,12,0,3770,37708,50264,3315,4580,6217,6022,0,0,35947,34,184,52,0,0,17,0,13,4,3,0,2620,777,3579,106,239,390,2,0,37,27190,2088,938,0,2,14069,20427,19,1617,85,33,3,2794,23,7903,40,2,21,0,296,2619,138,77,0,0,717,5,9591,0,0,8,1632,100,1725,130,12,13,404,123,101,0,0,134,611,66,1484,2650,2045,100,35332,110,126,2872,149,456,18,13,48,9518,24,4877,0,1787,4268,61,14,132,0,9679,5,66,209,340,8235,632,0,1643,1885,4,243,24208,0,537,225,6,0,0,2166,1156,7051,587,26,19,36,7,0,642,0,6929,595,490,0,224,0,4,734,18,19314,0,38,105,14,93,0,0,0,0,4,0,2039,2521,8558,371,173,0,0,81,0,257,0,34,451,2029,0,4194,0,0,748,0,0,0,1586,0,80,0,16,19,13,0,0,73,0,0
South Africa,0,17654,2315,193,371,23325,11564,37268,42,0,4191,1112906,21725,20,1357,2585,9907,8,2037,0,54,5245,3845,59,951,2983,37,5639,69250,670,3818,44,9212,276,108,4431,18931,255,298,369,47,25,1162,1587,46,18,0,600,12322,4361,2670,0,1223,12442,0,12,7445,4,626,1223,0,37,49,0,28,29,1820,0,4478,383,6946,55,42,202,0,0,12419,15732,8020,727,347,4407,4762,3835,8,1709,21,4,21,6423,301,488,597,0,86,486,41,2043,97,0,0,0,324,144,5186,0,0,0,250,464,136,120,3924,10586,63,0,16267,19,17,1546,61,8,92,3491,465,29309,2493,998,19,244,22,5,74,164,425,5026,3442,825,2,23,172,0,7,33,0,774,116,45,1014,0,582,64,0,0,304,0,748,1164,27,1175,13,0,0,0,139,1221,662,791,195,47,0,63,0,470,0,74,3625,131,0,4,8,0,2692,38,1424,0,7,0,0,8,0,0,0,75,70,0,243,2986,54,4,0,0,0,47,0,502,1244,101,91,266,0,4687,0,0,12755,1264,4,0,0,67,12,0,0,1315,0,0,0,40,0,0
United Arab Emirates,0,21612,65511,3614,11006,70879,7427,76665,16,0,7847,27854,61,106,14554,87929,85286,0,40420,0,25,28290,17670,30911,1170,21191,11,242077,104914,3277,4390,1003,21524,21888,180,31602,125,39732,15210,815,351,337,1056,4208,169,7111,0,11417,31009,7928,13477,0,8424,537092,42,5,36960,8,52590,236,0,32,1271,0,144,468,358,32,3179,2473,14169,13907,349,78,3037,0,1112,16353,10409,374,172,2001,7215,8455,20,11223,49,42,74,6629,202,10377,1186,3772,28,0,274,168276,150,2,0,0,219,233,5970,0,0,215,220,43758,96,12591,340,362,677,2,2179,4,9,4318,12099,0,4146,500,26978,1344,19517,1509,15,22380,23471,78,85,310,743,6052,852,5783,8,753,5324,7,5,1324,1,5443,53,91,937,1235,8228,5642,43,0,1296,1793,1797,12417,28,32414,370,2,0,0,858,11881,17222,2810,176,10,17,11,0,11934,0,1299,8364,4267,0,372,2454,16,7639,0,6584,0,0,4254,3,4319,0,0,0,2,58,0,1007,15090,893,168,27,0,0,61,0,82224,18,307,112,961,0,16417,0,0,7343,18,0,0,1038,0,35,0,2,15,0,0,6,0,0,0
Venezuela,0,2,20,0,7,174,842,436,51,0,5,11,93,120360,0,182,1362,0,61,0,121,11,10394,7,0,2,0,35,457,1398,7,13283,200,0,15287,1259,0,27,0,0,0,0,2018,8,21,0,0,3,558,49,38,0,94,29,108,51,1996,37,4,0,0,0,0,0,0,0,5,0,0,1,156,0,0,2426,0,0,0,132,3,2576,0,0,70,53,9,26,0,419,0,9,0,21,0,0,26,0,1821,0,192,6125,0,0,1323,0,1682,0,0,0,10609,6,1174,10,0,0,0,0,0,12,0,0,2,42,7,47,345,0,0,5,18,11,0,0,0,0,0,38,0,8,0,0,3,3,0,0,0,42,0,0,20,0,79,0,0,4,0,3,11,3,0,0,0,74,0,0,0,10,3,0,0,0,150,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,552,0,0,127,0,0,0,0,53,0,0,0,6,0,0,0,0,15,0,0,0,0,0,141,0,0,0,0,0,4,0,0,0
Indonesia,1,160653,3257,2,474,10797,531,10857,37,0,2661,2163,13280,0,7845277,17748,183864,7,23441,0,0,365,3420,135,78,243,73,125701,16655,198,82,29,3861,3684,24,10908,47,1691,139,4,2,46,78,1719,112,1012,4,525,7116,3601,73476,0,916,30638,0,0,4657,0,3709,0,0,0,0,0,0,4,143,50,12406,89,3671,63,3146,44,0,0,157,9970,62,55,70,106,1139,2156,0,326370,548,0,270,44,64,816,20,0,4,0,20,896,10,3,10402,4,3,295,884,0,0,1986,118,1444,8,309,12,53,9760,0,23,0,2,37,1716,0,302,183,309,11,76057,12,0,312,4,0,5,136,12,1247,1,23931,26,11,705,0,0,140,0,2055,10,0,16,13,1074,104,1,0,446,4812,100,1354,83,4051,111,0,0,0,634,44710,3907,33247,2,0,0,0,0,1016,0,376,6558,371,3,21,0,0,54,0,2019,0,0,223,0,4,0,0,0,0,3,0,84,41097,418,0,0,0,0,3,0,975,0,16,193,97,0,246361,0,0,156,0,0,0,50,0,10,0,2,13,0,0,0,20,0,0
Russian Federation,15,2555,6694,48,702,38382,1637,129646,0,0,4089,1822,81153,169,17105,4026301,86169,0,2558,0,21,246,53864,4187,49,246,6,2524,36753,4821,116,431,26213,15815,312,70719,190,2426,249,98,7,20,1052,3674,298,103089,0,2758,53939,7995,14739,0,10086,21839,0,0,101672,7,1829,59,0,92,11,0,0,19,53,0,785,14329,4590,57749,261,332,504,0,42,19964,728,252,53,375,9810,27990,0,2150,96,9,0,2108,19,2248,31,7713,67,0,200,839,74,23,0,0,10682,2148,6489,0,0,78,11975,1250,315,42957,84,29,406,6,39,1,0,2654,209,76,8868,43211,917,89,152891,156,125,1872,586,5,37,142,54,2190,9,57663,3,161,8286,0,5,34026,3,49148,57,13,24,4764,17011,9267,0,10,1168,0,92,11366,2,630,30210,2,0,0,2405,32290,116527,672,29,17,11,0,0,10503,0,18577,1195,1368,365,106,74657,0,83,0,7403,0,49,83288,17,54872,0,0,0,0,14,0,1432,6751,5105,7991,22,0,0,272,0,576,0,73,2684,655,0,4676,0,0,3066,4,4,0,172,0,1,0,0,14,0,0,0,42,0,0
China,9,229138,20205,40,1518,468922,6340,75793,170,0,9002,11916,86801,266,184817,83582,42998200,6,168913,0,19,4776,47480,10932,1233,6738,152,10334,140130,6176,2241,744,16190,20717,1206,17777,590,2778,1979,301,802,315,4059,4726,4564,7294,2,8318,54144,8408,998357,0,8915,55084,6,0,65521,1,1030,852,1,37,156,0,87,580,534,0,63038,1724,90586,7704,75360,1671,6,0,652,13757,5816,1934,560,498,7180,11633,55,239834,34615,161,490,3269,395,2117,42,1054,59,0,745,13851,68,2,448,9,912,7923,8247,0,0,175658,78,778,299,1322,1715,1067,165074,0,2276,35,1,731,20564,60,7061,10013,1086,1280,973607,997,14,3765,514,158,123,1041,783,4572,151,236106,34,304,864,2,38,1547,2,11121,405,341,787,19,10642,2273,10,69,867,5172,951,5538,147,14370,104,0,1,0,326,705124,7428,382558,366,2,16,5,12,27956,0,386,3977,995,1956,204,1738,24,2248,0,15032,19,0,381,0,1577,0,0,0,0,6,0,868,252293,368,221,22,0,0,76,0,1761,236,1618,415,559,0,284103,0,0,4268,16,4,0,127,0,10,0,1079,300,0,0,6,53,0,0
Western Samoa,0,6719,0,0,0,776,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,7,16,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10931,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philippines,13,47749,1796,22,66,100765,2021,10720,79,0,5123,2048,50144,45,19896,3178,170461,0,2333193,0,38,707,8568,148,289,206,4060,49732,24449,302,383,109,4507,673,841,2164,109,1655,62,33,92,62,250,7281,211,4,76,462,12442,5900,140776,0,1384,8485,0,2,16151,3,5283,31,58,20,67,0,8,0,85,0,10587,739,50748,68,749,91,0,0,116,5140,186,371,50,390,2811,3526,5,34934,221,2,127,130,36,408,29,0,32,0,50,430,167,145,0,12,11,227,543,0,0,26985,135,4762,101,59,71,61,4944,0,73,6,13,33,258,0,55,4504,927,13,41723,104,0,226,11,0,0,24,37,4497,16,16787,34,0,120,0,0,32,2,1446,171,16,35,0,337,31,0,6,177,2386,113,1317,17,783,2,2,0,0,100,241154,328,80745,11,2,48,159,0,231,0,143,16595,152,0,15,2,0,94,0,935,0,0,2,0,2,0,0,0,14,211,0,760,104524,158,0,80,0,0,82,167,14728,45,80,33,88,0,92287,0,0,183,28,0,0,0,0,139,0,946,7,0,0,0,52,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,189.9999,0,0,0,62334.99954,497.00024,1105.99995,7,0,294.99991,30,15,69,5,24,51.99998,0,1,0,11773.00013,8,2511.99993,0,0,0,0,4,843.99988,15932.99966,0,3203.00016,439.99996,4,7148.00241,12,0,7,0,0,0,0,521.00004,84,0,0,0,3,2212.00014,210.99996,188.00006,0,17,54.00003,191,4,671.00003,4869.99977,0,0,0,0,0,0,0,0,0,0,21,0,6291.99831,0,0,664.99987,0,0,0,743.99992,6,317.99994,0,0,92,203.99999,0,3,0,102,0,0,0,3,0,0,482,0,685.99987,0,103.99996,95,0,0,550.00005,0,59.00001,0,0,0,1888.99969,0,11299.99737,0,0,0,0,2,0,1072.00002,6,0,0,4445.00034,0,121,0,0,4,0,18,0,0,0,0,0,0,25,0,0,15,0,0,0,0,0,0,95.00004,28,0,0,0,4,0,0,0,0,0,1,27.99999,0,0,0,43,0,0,0,583.00002,0,73.99999,0,0,95,0,0,0,0,0,5,0,0,0,0,0,3,0,17.00001,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,4155,0,0,217.99999,0,3,0,4,0,0,0,11.00001,0,0,0,0,56,0,0,0,183.99999,0,0,0,0,0,0,95,0,0
